Error,Corrected
அவன் நல்ல மாணவியாக இருக்கிறான்.,அவன் நல்ல மாணவனாக இருக்கிறான்.
அவள் ஏன் அழுதான்?,அவன் ஏன் அழுதான்?
இது அவர் புத்தகம்.,இது அவரது புத்தகம்.
இந்தக் குழந்தைகள் விளையாடுகிறாள்.,இந்தக் குழந்தைகள் விளையாடுகின்றனர்.
பசுக்கள் புல்லை சாப்பிடுகிறான்.,பசுக்கள் புல்லை சாப்பிடுகின்றன.
இது அவர் செய்தது?,இது அவர் செய்தாரா?
மாணவர் புத்தகத்தை வாசிக்கின்றனர்.,மாணவர்கள் புத்தகத்தை வாசிக்கின்றனர்.
அவன் பாடத்தை படிக்கின்றாள்.,அவன் பாடத்தை படிக்கிறான்.
அவள் வீட்டிற்குச் சென்றான்.,அவள் வீட்டிற்குச் சென்றாள்.
இது ஒரு அழகான மரம் இல்லை?,இது ஒரு அழகான மரமா?
அவர் எப்போது வந்து சேர்ந்தார்?,அவர் எப்போது வந்தார்?
பூனைகள் பறவையைக் கடிக்கின்றன.,பூனைகள் பறவையைக் கடிக்கின்றது.
அது சிறிய குழந்தையல்ல.,அது சிறிய குழந்தை அல்ல.
இந்த புத்தகம் உங்களுடையதா?,இந்தப் புத்தகம் உங்களுடையதா?
மாணவர்கள் மிகவும் அறிவாளி.,மாணவர்கள் மிகவும் அறிவாளிகள்.
நான் உணவை சாப்பிடவில்லையா?,நான் உணவு சாப்பிடவில்லையா?
நீ பேச முடியுமா?,நீ பேசுவாயா?
அவன் கதவை திறந்தான் இல்லையா?,அவன் கதவை திறந்தாயா?
ehd; நல்லா சமைக்கிறேன்.,அது நன்றாக சமைக்கிறேன்.
இவர் யார் இருக்கிறாள்?,இவர் யார் இருக்கிறார்?
எங்கள் பசுக்கள் புல்லை உண்ணுகிறாள்.,எங்கள் பசுக்கள் புல்லை உண்ணுகின்றன.
நான் சாப்பிடாமல் இருக்கிறேன்.,நான் சாப்பிடாமல் இருக்கிறேன்.
அவன் நூலகத்திற்கு செல்வான்.,அவன் நூலகத்திற்கு செல்வார்.
பசிக்கிறது என்றால் சாப்பிடு.,பசிக்கிறதா என்றால் சாப்பிடு.
காய்கறிகள் நல்லா சமைக்கிறது.,காய்கறிகள் நன்றாக சமைக்கின்றன.
நீ சாப்பிடுவது அவசியமில்லை?,நீ சாப்பிடுவது அவசியமா?
அவர் நூற்றாண்டை வாழ்ந்து விட்டார்.,அவர் நூற்றாண்டை வாழ்ந்தார்.
இது அவனுடைய புத்தகம் இல்லை?,இது அவனுடைய புத்தகமா?
நான் எனது வேலை முடிக்கவில்லையா?,நான் எனது வேலை முடிக்கவில்லையா?
இது மிகவும் பழைய தூரிகை.,இது மிகவும் பழைய தூரிகையா?
அந்த மரம் அழகாக வளர்ந்தது.,அந்த மரம் அழகாக வளர்ந்திருக்கிறது.
அவர்கள் எப்போது வருகிறான்?,அவர்கள் எப்போது வருகிறார்கள்?
நான் அது செய்ய முடியவில்லையா?,நான் அதைச் செய்ய முடியவில்லையா?
இவன் மிகவும் அறிவாளி மாணவியாக இருக்கிறான்.,இவன் மிகவும் அறிவாளி மாணவனாக இருக்கிறான்.
அவள் என்ன செய்ய வேண்டியது?,அவள் என்ன செய்ய வேண்டும்?
இந்த நகரம் அழகான இடம்.,இந்த நகரம் அழகான இடமாக இருக்கிறது.
நீங்கள் எங்கே இருந்தீர்கள்?,நீங்கள் எங்கு இருந்தீர்கள்?
இதன் நிறம் அழகானதா இல்லை?,இதன் நிறம் அழகானதா?
என் நண்பர்கள் மிகவும் நல்லவர்கள்.,எனது நண்பர்கள் மிகவும் நல்லவர்கள்.
அவன் அவளை அடித்தான் என்று சொன்னது.,அவன் அவளை அடித்தான் என்று சொன்னான்.
அவர்கள் பாடம் படிக்காமல் சென்றார்கள்.,அவர்கள் பாடம் படிக்காமல் போனார்கள்.
இது ஒரு பொய் கதையல்ல.,இது ஒரு பொய் கதை அல்ல.
நான் இதைச் செய்ய முடியுமா?,நான் இதைச் செய்யவே முடியுமா?
அவன் அவனுடைய வேலை முடிக்கிறாள்.,அவன் அவனுடைய வேலை முடிக்கிறான்.
அவர்கள் ஒரு நல்ல முயற்சி எடுத்தது.,அவர்கள் ஒரு நல்ல முயற்சி எடுத்தார்கள்.
இது எப்போது நடந்தது என்று அவன் கேட்டான்.,இது எப்போது நடந்தது என்று அவன் கேட்டான்.
அந்த சிறுவன் பாடத்தை விட்டுவிட்டான்.,அந்த சிறுவன் பாடத்தை விட்டான்.
அவன் மிகவும் நேர்மையானவள்.,அவன் மிகவும் நேர்மையானவன்.
மாணவிகள் மிகுந்த கவனமாக இருக்கிறாள்.,மாணவிகள் மிகுந்த கவனமாக இருக்கின்றனர்.
நீ எனக்கு உதவினாயா?,நீ எனக்கு உதவியாயா?
நான் சாப்பிட்டு விட்டுவிட்டேன்.,நான் சாப்பிட்டுவிட்டேன்.
இது அவன் வேலை இல்லை.,இது அவன் வேலை அல்ல.
அவன் அவனுடைய வீட்டிற்கு செல்வான்.,அவன் தனது வீட்டிற்கு செல்வான்.
இங்கே யார் பேசுகிறாள்?,இங்கே யார் பேசுகிறார்கள்?
அவளுக்கு அவன் உதவ வேண்டும்.,அவனுக்கு அவள் உதவ வேண்டும்.
இந்தப் பயணம் மிகவும் சிரமமானது.,இந்தப் பயணம் மிகவும் சிரமமாக இருந்தது.
பசிக்கு உணவை கொடுக்கிறது.,பசிக்கு உணவை கொடுக்கின்றனர்.
மாணவர்களுக்கு அந்தப் பாடம் பிடித்தது.,மாணவர்களுக்கு அந்தப் பாடம் பிடித்திருக்கிறது.
இது எனக்கு தேவையானதா இல்லை?,இது எனக்கு தேவையானதா?
நான் நிறைய வேலை செய்ய வேண்டும்.,நான் நிறைய வேலை செய்ய வேண்டும்.
இது நீ செய்தாயா அல்லது அவர் செய்தாரா?,இது நீ செய்தாயா அல்லது அவர் செய்தாரா?
அவர்கள் எப்போது திரும்பினார்கள்?,அவர்கள் எப்போது திரும்பினர்?
இவர்கள் தினமும் காலையில் விளையாடுகிறாள்.,இவர்கள் தினமும் காலையில் விளையாடுகின்றனர்.
அவள் புத்தகத்தை விற்கும்.,அவள் புத்தகத்தை விற்கிறாள்.
அவர் உணவை சமைத்தாள்.,அவர் உணவை சமைத்தார்.
இது அவருடைய வீடு இல்லை?,இது அவருடைய வீடா?
நீ எப்போது கிளம்புகிறாய்?,நீ எப்போது கிளம்புவாய்?
இது நல்ல தீர்மானம் இல்லை.,இது நல்ல தீர்மானமா?
அவர்கள் அங்கே இருந்து வந்துவிட்டார்கள்.,அவர்கள் அங்கே இருந்து வந்துவிட்டனர்.
இது எனக்கு தெரிந்தது.,இது எனக்கு தெரிகிறது.
அவன் மிகுந்த வேகத்தில் ஓடினான்.,அவன் மிக வேகமாக ஓடினான்.
இந்த பக்கம் மிகவும் அழகானது.,இந்த இடம் மிகவும் அழகானது.
அவர் என்னிடம் உதவி செய்தாள்.,அவர் என்னிடம் உதவி செய்தார்.
இது அவளுடைய வேலை இல்லை?,இது அவளுடைய வேலையா?
