id,error_type,grammatical_error_sentence,correct_sentence
1,Error1,"நான் புத்தகம் வாசிக்கிறோம்","நான் புத்தகம் வாசிக்கிறேன்"



2,Error1,"நீ உணவு சாப்பிடுகிறேன்","நீ உணவு சாப்பிடுகிறாய்"
3,Error1,"அவன் பந்து விளையாடுகிறோம்","அவன் பந்து விளையாடுகிறான்"
4,Error1,"அவள் பாடல் எழுதுகிறார்கள்","அவள் பாடல் எழுதுகிறாள்"
5,Error1,"நாங்கள் இசை கேட்கிறேன்","நாங்கள் இசை கேட்கிறோம்"
6,Error1,"அவர்கள் கணினி வேலை செய்கிறேன்","அவர்கள் கணினி வேலை செய்கிறார்கள்"
7,Error1,"நான் அறிக்கை எழுதுகிறார்கள்","நான் அறிக்கை எழுதுகிறேன்"
8,Error1,"அவள் பாகம் வாசிக்கிறேன்","அவள் பாகம் வாசிக்கிறாள்"
9,Error1,"அவன் ஆர்வமாக பேசுகிறோம்","அவன் ஆர்வமாக பேசுகிறான்"
10,Error1,"நீ பாடம் படிக்கிறோம்","நீ பாடம் படிக்கிறாய்"
11,Error2,"நான் நேற்று செல்வேன்","நான் நேற்று சென்றேன்"
12,Error2,"நாங்கள் இன்று வந்தோம்","நாங்கள் இன்று வருகிறோம்"
13,Error2,"அவன் நாளை வந்தான்","அவன் நாளை வருவான்"
14,Error2,"அவள் நேற்று பேசுவாள்","அவள் நேற்று பேசினாள்"
15,Error2,"நீ இன்று படித்தேன்","நீ இன்று படிக்கிறாய்"
16,Error2,"அவர்கள் நாளை வந்தார்கள்","அவர்கள் நாளை வருவார்கள்"
17,Error2,"நாங்கள் நேற்று சாப்பிடுவோம்","நாங்கள் நேற்று சாப்பிட்டோம்"
18,Error2,"நான் இன்று சென்றேன்","நான் இன்று செல்கிறேன்"
19,Error2,"அவன் நாளை செல்லுகிறான்","அவன் நாளை செல்லுவான்"
20,Error2,"நீ நேற்று வருவாய்","நீ நேற்று வந்தாய்"
